event-id,visible,timestamp,location-long,location-lat,comments,external-temperature,height-above-ellipsoid,manually-marked-outlier,tag-tech-spec,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
181880468,true,2005-03-20 16:03:14.000,11.0620855,45.9878812,"",14.0,954.24,,"6.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880469,true,2005-03-20 20:03:06.000,,,"",12.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880470,true,2005-03-21 00:03:06.000,11.0679152,45.9899317,"",12.0,955.11,,"2.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880471,true,2005-03-21 04:01:45.000,11.0673576,45.9912696,"",13.0,954.64,,"2",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880472,true,2005-03-21 08:03:05.000,,,"",11.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880473,true,2005-03-21 12:02:19.000,11.0662589,45.9964847,"",27.0,1416.52,,"3.2",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880474,true,2005-03-21 16:01:12.000,11.0661967,45.9962589,"",10.0,1418.51,,"6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880475,true,2005-03-21 20:01:49.000,11.0655907,45.9959564,"",9.0,1421.81,,"3",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880476,true,2005-03-22 00:01:24.000,11.0656741,45.995993,"",6.0,1423.44,,"5.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880477,true,2005-03-22 04:02:51.000,11.0656761,45.996134,"",4.0,1423.58,,"2",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880478,true,2005-03-22 08:03:04.000,11.065787,45.9968357,"",12.0,1426.1,,"4.6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880479,true,2005-03-22 12:01:42.000,11.0662691,45.9965021,"",14.0,1420.21,,"5",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880480,true,2005-03-22 16:02:16.000,11.064936,45.9962248,"",10.0,1473.62,,"4.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880481,true,2005-03-22 20:01:29.000,11.0652144,45.9961992,"",13.0,1469.42,,"5.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880482,true,2005-03-23 00:01:11.000,11.0659203,45.9962535,"",6.0,1470.53,,"4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880483,true,2005-03-23 04:01:23.000,11.0658275,45.9962351,"",8.0,1423.85,,"3",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880484,true,2005-03-23 08:02:18.000,11.0647981,45.9983629,"",14.0,1423.39,,"4.2",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880485,true,2005-03-23 12:02:59.000,11.0644113,45.9971025,"",13.0,1423.87,,"9.6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880486,true,2005-03-23 16:00:54.000,11.0650252,45.9957939,"",12.0,1440.64,,"3.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880487,true,2005-03-23 20:01:42.000,,,"",16.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880488,true,2005-03-24 00:01:50.000,11.0655305,45.9954372,"",10.0,1441.4,,"2.6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880489,true,2005-03-24 04:02:20.000,11.0656929,45.99591,"",14.0,1440.69,,"1.6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880490,true,2005-03-24 08:03:08.000,,,"",18.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880491,true,2005-03-24 12:01:48.000,11.0651861,45.9977317,"",19.0,1436.94,,"5.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880492,true,2005-03-24 16:02:15.000,11.0652696,45.9966244,"",12.0,1441.83,,"6.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880493,true,2005-03-24 20:01:24.000,11.0650591,45.9955286,"",10.0,1435.77,,"3.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880494,true,2005-03-25 00:02:39.000,11.0646786,45.9957943,"",10.0,1443.38,,"24.6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880495,true,2005-03-25 04:03:04.000,11.0649983,45.9956565,"",10.0,1515.17,,"21.6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880496,true,2005-03-25 08:01:23.000,11.0659376,45.9965512,"",13.0,1427.44,,"5.2",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880497,true,2005-03-25 12:03:02.000,11.0644702,45.9984614,"",12.0,1464.25,,"5.6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880498,true,2005-03-25 16:01:18.000,11.0650844,45.9985528,"",16.0,1454.43,,"2.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880499,true,2005-03-25 20:01:52.000,11.0650558,45.9958836,"",10.0,1456.03,,"5.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880500,true,2005-03-26 00:03:00.000,11.0650164,45.9955991,"",11.0,1453.22,,"2.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880501,true,2005-03-26 04:01:49.000,11.0647441,45.9956712,"",10.0,1421.84,,"3",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880502,true,2005-03-26 08:00:54.000,11.063582,45.9959224,"",11.0,1506.09,,"4.6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880503,true,2005-03-26 12:01:23.000,11.0644184,45.9957903,"",18.0,1456.32,,"5.6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880504,true,2005-03-26 16:01:24.000,11.0658005,45.9966792,"",16.0,1430.39,,"2",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880505,true,2005-03-26 20:01:54.000,11.0658969,45.9960784,"",11.0,1433.73,,"5.6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880506,true,2005-03-27 00:01:46.000,11.0657826,45.9961351,"",11.0,1430.42,,"5.6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880507,true,2005-03-27 04:01:22.000,11.0656854,45.9963379,"",13.0,1426.72,,"2.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880508,true,2005-03-27 08:03:08.000,,,"",9.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880509,true,2005-03-27 12:01:52.000,11.0666014,45.9969384,"",19.0,1423.42,,"5.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880510,true,2005-03-27 16:01:18.000,11.0671579,45.9966452,"",14.0,1379.81,,"4.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880511,true,2005-03-27 20:02:10.000,11.0654187,45.9954253,"",10.0,1428.79,,"5.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880512,true,2005-03-28 00:02:54.000,11.0688007,45.9923792,"",7.0,1429.16,,"6.2",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880513,true,2005-03-28 04:03:10.000,,,"",9.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880514,true,2005-03-28 08:02:25.000,11.0666848,45.9894743,"",14.0,1424.13,,"12",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880515,true,2005-03-28 12:03:08.000,,,"",25.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880516,true,2005-03-28 16:03:08.000,,,"",15.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880517,true,2005-03-28 20:02:46.000,11.0658011,45.9958038,"",17.0,1411.77,,"3.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880518,true,2005-03-29 00:02:17.000,11.0658002,45.996159,"",10.0,1430.63,,"9.2",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880519,true,2005-03-29 04:01:54.000,11.0657286,45.9963139,"",12.0,1429.3,,"8.2",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880520,true,2005-03-29 08:01:24.000,11.0667956,45.9964469,"",20.0,1413.62,,"6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880521,true,2005-03-29 12:02:50.000,11.0666292,45.996736,"",14.0,1399.26,,"5",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880522,true,2005-03-29 16:02:10.000,11.0705753,45.987882,"",13.0,1399.1,,"21.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880523,true,2005-03-29 20:01:43.000,11.0704,45.9955321,"",9.0,1382.56,,"4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880524,true,2005-03-30 00:02:14.000,11.0690104,45.994318,"",8.0,1375.29,,"21",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880525,true,2005-03-30 04:03:06.000,11.0673586,45.997,"",5.0,1373.7,,"3.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880526,true,2005-03-30 08:01:51.000,11.0663151,45.9965922,"",22.0,1374.39,,"2.6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880527,true,2005-03-30 12:01:24.000,11.0665579,45.9966142,"",23.0,1373.42,,"4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880528,true,2005-03-30 16:01:54.000,11.0665687,45.9964531,"",17.0,1371.25,,"5",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880529,true,2005-03-30 20:00:54.000,11.0673754,45.9966072,"",8.0,1371.38,,"3.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880530,true,2005-03-31 00:01:48.000,11.0661262,45.9961256,"",13.0,1413.37,,"7.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880531,true,2005-03-31 04:03:09.000,11.0659101,45.9963082,"",8.0,1407.66,,"3",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880532,true,2005-03-31 08:03:09.000,,,"",18.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880533,true,2005-03-31 12:03:09.000,,,"",20.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880534,true,2005-03-31 16:02:24.000,11.069055,45.9938886,"",9.0,1300.44,,"2.2",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880535,true,2005-03-31 20:01:48.000,11.0702502,45.994874,"",7.0,1294.73,,"4.2",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880536,true,2005-04-01 00:01:12.000,11.0673016,45.996679,"",8.0,1369.24,,"6.2",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880537,true,2005-04-01 04:00:49.000,11.0672707,45.9967973,"",10.0,1370.44,,"6.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880538,true,2005-04-01 08:01:17.000,11.0655174,45.9960467,"",16.0,1369.01,,"2.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880539,true,2005-04-01 12:01:24.000,11.0660885,45.996737,"",18.0,1422.79,,"3.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880540,true,2005-04-01 16:01:42.000,11.0706971,45.9951048,"",12.0,1358.93,,"5.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880541,true,2005-04-01 20:02:06.000,11.0679627,45.9964708,"",9.0,1358.23,,"4.6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880542,true,2005-04-02 00:02:45.000,11.0694396,45.994097,"",6.0,1322.55,,"9.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880543,true,2005-04-02 04:03:07.000,11.0690338,45.9960561,"",2.0,1322.12,,"6.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880544,true,2005-04-02 08:02:24.000,11.0659822,45.996703,"",16.0,1419.49,,"3.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880545,true,2005-04-02 12:01:11.000,11.066274,45.9967743,"",15.0,1381.25,,"4.6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880546,true,2005-04-02 16:00:55.000,11.0659164,45.9966966,"",10.0,1418.78,,"4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880547,true,2005-04-02 20:02:23.000,11.0696781,45.9948339,"",5.0,1421.38,,"4.6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880548,true,2005-04-03 00:01:41.000,11.0706918,45.9949031,"",7.0,1398.66,,"4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880549,true,2005-04-03 04:02:22.000,11.0698686,45.9938837,"",3.0,1398.29,,"6.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880550,true,2005-04-03 08:02:18.000,11.0640099,45.9999166,"",12.0,1444.25,,"3.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880551,true,2005-04-03 12:02:51.000,11.0665422,45.9967405,"",17.0,1441.88,,"2.2",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880552,true,2005-04-03 16:01:48.000,11.0664541,45.9966457,"",12.0,1443.72,,"6.6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880553,true,2005-04-03 20:01:47.000,11.0703378,45.993456,"",9.0,1441.44,,"7",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880554,true,2005-04-04 00:03:06.000,11.0701877,45.9948187,"",4.0,1309.01,,"10.2",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880555,true,2005-04-04 04:01:53.000,11.0684354,45.9961554,"",7.0,1307.29,,"3.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880556,true,2005-04-04 08:01:52.000,11.0665634,45.9965142,"",14.0,1306.3,,"24.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880557,true,2005-04-04 12:03:04.000,,,"",18.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880558,true,2005-04-04 16:01:11.000,11.0689581,45.993574,"",12.0,1311.98,,"6.2",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880559,true,2005-04-04 20:02:19.000,11.0696365,45.9953073,"",7.0,1312.16,,"7.2",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880560,true,2005-04-05 00:00:47.000,11.0706054,45.994667,"",3.0,1293.33,,"3",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880561,true,2005-04-05 04:03:11.000,,,"",7.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880562,true,2005-04-05 08:03:11.000,,,"",12.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880563,true,2005-04-05 12:03:11.000,,,"",22.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880564,true,2005-04-05 16:00:55.000,11.0274958,46.0096163,"",11.0,1776.38,,"6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880565,true,2005-04-05 20:00:54.000,11.0287306,46.0140051,"",5.0,1808.5,,"3",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880566,true,2005-04-06 00:00:53.000,11.0286773,46.013604,"",2.0,1815.41,,"3",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880567,true,2005-04-06 04:03:09.000,,,"",9.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880568,true,2005-04-06 08:01:11.000,11.0287965,46.012028,"",18.0,1753.83,,"7.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880569,true,2005-04-06 12:01:55.000,11.0283477,46.0111467,"",21.0,1751.12,,"3.6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880570,true,2005-04-06 16:01:52.000,11.0277082,46.0104499,"",12.0,1750.85,,"2.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880571,true,2005-04-06 20:01:40.000,11.0280686,46.0112694,"",9.0,1751.85,,"5.2",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880572,true,2005-04-07 00:01:24.000,11.0280798,46.0120515,"",3.0,1752.7,,"2.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880573,true,2005-04-07 04:01:52.000,11.0273023,46.0096151,"",9.0,1751.5,,"3.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880574,true,2005-04-07 08:00:53.000,11.0274213,46.0095542,"",12.0,1744.14,,"7.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880575,true,2005-04-07 12:02:11.000,11.0273073,46.0106414,"",19.0,1753.93,,"7",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880576,true,2005-04-07 16:01:28.000,11.027389,46.0107556,"",8.0,1780.59,,"13",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880577,true,2005-04-07 20:03:06.000,,,"",7.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880578,true,2005-04-08 00:03:06.000,,,"",7.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880579,true,2005-04-08 04:03:06.000,,,"",10.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880580,true,2005-04-08 08:01:46.000,11.0288513,46.0114566,"",8.0,1784.57,,"2.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880581,true,2005-04-08 12:03:06.000,,,"",5.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880582,true,2005-04-08 16:03:07.000,11.027757,46.0105912,"",6.0,1784.33,,"4.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880583,true,2005-04-08 20:01:52.000,11.0288186,46.0114151,"",5.0,1783.47,,"2.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880584,true,2005-04-09 00:03:04.000,,,"",3.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880585,true,2005-04-09 04:03:04.000,,,"",7.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880586,true,2005-04-09 08:00:48.000,11.0711403,45.989683,"",9.0,1081.92,,"5",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880587,true,2005-04-09 12:01:36.000,,,"",12.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880588,true,2005-04-09 16:01:26.000,11.0697072,45.9934454,"",12.0,1095.0,,"15.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880589,true,2005-04-09 20:03:11.000,,,"",6.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880590,true,2005-04-10 00:02:33.000,11.0660886,45.992831,"",7.0,1108.14,,"23.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880591,true,2005-04-10 04:02:23.000,11.0704391,45.993131,"",9.0,1203.84,,"6.6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880592,true,2005-04-10 08:00:48.000,11.0660183,45.9958676,"",9.0,1407.71,,"3.6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880593,true,2005-04-10 12:01:49.000,11.0657511,45.9934646,"",11.0,1358.49,,"9.6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880594,true,2005-04-10 16:02:55.000,11.066032,45.9934578,"",9.0,1355.04,,"18.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880595,true,2005-04-10 20:01:19.000,11.0705889,45.9935421,"",8.0,1330.7,,"4.6",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880596,true,2005-04-11 00:03:11.000,,,"",7.0,,,"25.4",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880597,true,2005-04-11 04:02:29.000,11.0646796,45.9871573,"",5.0,1333.72,,"5.2",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880598,true,2005-04-11 08:02:51.000,11.068798,45.9886774,"",10.0,1334.52,,"3.2",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880599,true,2005-04-11 12:02:22.000,11.0687071,45.9909784,"",13.0,1336.29,,"2.8",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
181880600,true,2005-04-11 16:03:08.000,11.0710988,45.9926904,"",12.0,1331.79,,"3",3.44,"gps","Capreolus capreolus","GSM01438","Agostino (M03)","EuroDeer: Roe deer in Italy 2005-2008"
